slope_deg,longitudinal_accel_mps2,speed_mps,turn_radius_m,yaw_rate_radps,lateral_accel_mps2,required_uphill_force_n,motor_torque_each_nm,continuous_torque_safety_factor,traction_safety_factor,resultant_lean_deg,inner_wheel_speed_mps,outer_wheel_speed_mps,head_combined_load_n,magnetic_retention_safety_factor,pass,check_continuous_torque,check_wheel_shell_traction,check_resultant_lean,check_wheel_speed,check_magnetic_head_combined_shock
0.0,0.0,0.3,0.8,0.37499999999999994,0.11249999999999998,2.4898103684999993,0.08299367894999998,7.2294662387658875,44.98334548565442,0.6572573159839094,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,True,True,True,True,True,True
0.0,0.1,0.3,0.8,0.37499999999999994,0.11249999999999998,3.416110368499999,0.11387034561666663,5.269150600629959,32.7858259594753,0.8793502068695278,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,True,True,True,True,True,True
0.0,0.2,0.3,0.8,0.37499999999999994,0.11249999999999998,4.3424103684999995,0.14474701228333334,4.145163278572804,25.79212706667523,1.3404409159260713,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,True,True,True,True,True,True
0.0,0.3,0.3,0.8,0.37499999999999994,0.11249999999999998,5.268710368499999,0.17562367895,3.416395804866494,21.25757389694708,1.871286127736697,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,True,True,True,True,True,True
0.0,0.4,0.3,0.8,0.37499999999999994,0.11249999999999998,6.195010368499999,0.20650034561666666,2.905564144254749,18.079065786473997,2.4262380657434073,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,True,True,True,True,True,True
0.0,0.5,0.3,0.8,0.37499999999999994,0.11249999999999998,7.1213103685,0.23737701228333336,2.527624702276729,15.727442591944095,2.9915820483992372,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,True,True,True,True,True,True
0.0,0.6,0.3,0.8,0.37499999999999994,0.11249999999999998,8.047610368499999,0.26825367894999996,2.236688802735244,13.917174772574853,3.5620182769537982,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,True,True,True,True,True,True
0.0,0.7,0.3,0.8,0.37499999999999994,0.11249999999999998,8.973910368499999,0.2991303456166666,2.0058145513892316,12.480623875310775,4.135067111417332,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,True,True,True,True,True,True
0.5,0.0,0.3,0.8,0.37499999999999994,0.11249999999999998,3.2139628496481967,0.10713209498827324,5.600562558453435,34.847944808154715,0.8258185111517139,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,True,True,True,True,True,True
0.5,0.1,0.3,0.8,0.37499999999999994,0.11249999999999998,4.140262849648197,0.13800876165493992,4.3475500599024715,27.05142259494872,1.267760437490282,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,True,True,True,True,True,True
0.5,0.2,0.3,0.8,0.37499999999999994,0.11249999999999998,5.0665628496481965,0.16888542832160658,3.5527043745741453,22.105716108461355,1.792783062438659,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,True,True,True,True,True,True
