object,type,size_x_mm,size_y_mm,size_z_mm,center_x_mm,center_y_mm,center_z_mm,notes
Internal geared motor L,MESH,45.0,45.0,125.2,-72.4,-9.47,-135.36,45 x 45 x 125.2
Internal geared motor R,MESH,45.0,45.0,125.2,72.4,-9.47,-135.36,45 x 45 x 125.2
Internal hardware driver enable line,MESH,1.8,51.6,10.51,0.0,-10.8,-86.89,
Internal magnet array riser,MESH,90.0,90.0,10.0,0.0,16.67,238.42,
Internal magnetic mast,MESH,24.0,24.0,340.0,0.0,3.49,49.88,
Internal mast brace L,MESH,12.0,12.0,302.05,-82.5,1.29,18.45,
Internal mast brace R,MESH,12.0,12.0,302.05,82.5,1.29,18.45,
Internal monitored power input L,MESH,130.12,29.39,11.18,19.06,13.25,-89.57,
Internal monitored power input R,MESH,48.71,18.04,11.15,59.19,6.96,-89.17,
Internal monitored power output L,MESH,26.17,13.92,12.15,-29.82,4.86,-90.47,
Internal monitored power output R,MESH,26.17,13.92,12.15,29.82,4.86,-90.47,
Internal motor M4 bolt L1,MESH,4.0,4.0,10.0,-134.0,3.74,-123.88,
Internal motor M4 bolt L2,MESH,4.0,4.0,10.0,-134.0,-20.95,-122.15,
Internal motor M4 bolt L3,MESH,4.0,4.0,10.0,-134.0,-22.67,-146.84,
Internal motor M4 bolt L4,MESH,4.0,4.0,10.0,-134.0,2.02,-148.56,
Internal motor M4 bolt R1,MESH,4.0,4.0,10.0,134.0,3.74,-123.88,
Internal motor M4 bolt R2,MESH,4.0,4.0,10.0,134.0,-20.95,-122.15,
Internal motor M4 bolt R3,MESH,4.0,4.0,10.0,134.0,-22.67,-146.84,
Internal motor M4 bolt R4,MESH,4.0,4.0,10.0,134.0,2.02,-148.56,
Internal motor face mount L,MESH,4.0,52.0,52.0,-133.0,-9.47,-135.36,4 mm 6061-T6 aluminium; printed prototype is fit-check only
Internal motor face mount R,MESH,4.0,52.0,52.0,133.0,-9.47,-135.36,4 mm 6061-T6 aluminium; printed prototype is fit-check only
Internal motor shaft L,MESH,8.0,8.0,20.0,-145.0,-9.47,-135.36,
Internal motor shaft R,MESH,8.0,8.0,20.0,145.0,-9.47,-135.36,
Internal power connector L,MESH,16.0,10.0,8.0,-42.0,9.4,-94.89,
Internal power connector R,MESH,16.0,10.0,8.0,42.0,9.4,-94.89,
Internal power harness L1,MESH,5.0,5.0,32.08,-19.0,-32.58,-121.87,
Internal power harness L2,MESH,5.0,5.0,43.68,-49.0,-37.32,-103.65,
Internal power harness L3,MESH,5.0,5.0,54.18,-56.0,-13.75,-96.28,
Internal power harness R1,MESH,5.0,5.0,32.08,19.0,15.3,-125.22,
Internal power harness R2,MESH,5.0,5.0,43.68,49.0,22.53,-107.83,
Internal power harness R3,MESH,5.0,5.0,31.87,56.0,16.18,-98.37,
Internal roller arm +0.090 +0.075,MESH,9.0,9.0,314.48,101.25,66.97,43.87,
Internal roller arm +0.090 -0.075,MESH,9.0,9.0,314.48,101.25,-60.22,52.76,
Internal roller arm -0.090 +0.075,MESH,9.0,9.0,314.48,-101.25,66.97,43.87,
Internal roller arm -0.090 -0.075,MESH,9.0,9.0,314.48,-101.25,-60.22,52.76,
Internal sealed low ballast cassette,MESH,120.0,70.0,24.0,0.0,-14.3,-204.5,
Internal stabiliser roller L B,MESH,36.0,36.0,36.0,-90.0,89.11,199.14,
Internal stabiliser roller L F,MESH,36.0,36.0,36.0,-90.0,-60.53,209.6,
Internal stabiliser roller R B,MESH,36.0,36.0,36.0,90.0,89.11,199.14,
Internal stabiliser roller R F,MESH,36.0,36.0,36.0,90.0,-60.53,209.6,
Internal top magnet carrier,MESH,112.0,112.0,18.0,0.0,15.7,224.45,
Internal wheel M5 bolt L1,MESH,5.0,5.0,32.0,-155.0,-8.84,-126.38,
Internal wheel M5 bolt L2,MESH,5.0,5.0,32.0,-155.0,-17.55,-139.3,
Internal wheel M5 bolt L3,MESH,5.0,5.0,32.0,-155.0,-2.0,-140.39,
Internal wheel M5 bolt R1,MESH,5.0,5.0,32.0,155.0,-8.84,-126.38,
Internal wheel M5 bolt R2,MESH,5.0,5.0,32.0,155.0,-17.55,-139.3,
Internal wheel M5 bolt R3,MESH,5.0,5.0,32.0,155.0,-2.0,-140.39,
