scenario,total_mass_kg,com_x_mm,com_y_mm,com_z_mm,inertia_x_kg_m2,inertia_y_kg_m2,inertia_z_kg_m2
nominal,8.463,1.861042183622829,1.4415691835046676,-56.20879120879121,0.23862315358856204,0.2703338020582086,0.10854868751490253
minimum_mass,6.375,1.647058823529412,1.411764705882353,-55.53333333333333,0.19112095578431368,0.21275804714901964,0.07942638793333334
maximum_mass,10.628,2.173503951825367,1.5901392547986448,-49.97741814076025,0.30026924956028106,0.3407503610457333,0.1432507197786401
lowest_com,8.843,2.612235666628972,1.9111161370575596,-74.47189867691958,0.2045937692374383,0.2442785038629221,0.10007606890005127
highest_com,7.91,1.3274336283185841,1.1378002528445008,-27.702907711757266,0.2743082082975137,0.2967378567133586,0.1159246346779604
