time_s,x_m,y_m,heading_deg,left_mps,right_mps
0.01,1.1249973632831038e-05,0.002999978906274719,0.21485917317405867,0.241875,0.35812499999999997
0.02,3.37497626959243e-05,0.005999894531670226,0.42971834634811734,0.241875,0.35812499999999997
0.03,6.749905078636686e-05,0.008999704689922476,0.644577519522176,0.241875,0.35812499999999997
0.04,0.00011249736330535113,0.011999367196250553,0.8594366926962347,0.241875,0.35812499999999997
0.05,0.00016874406746484883,0.014998839867949896,1.0742958658702932,0.241875,0.35812499999999997
0.060000000000000005,0.0002362383722965097,0.01799808052498549,1.289155039044352,0.241875,0.35812499999999997
0.07,0.0003149793286627842,0.020997046990585015,1.5040142122184108,0.241875,0.35812499999999997
0.08,0.0004049658292702712,0.023995697091831976,1.7188733853924694,0.241875,0.35812499999999997
0.09,0.0005061966086852887,0.02699398866025874,1.9337325585665281,0.241875,0.35812499999999997
0.09999999999999999,0.0006186702433516694,0.029991879532439536,2.1485917317405865,0.241875,0.35812499999999997
0.10999999999999999,0.0007423851516107794,0.032989327550583376,2.3634509049146453,0.241875,0.35812499999999997
0.11999999999999998,0.00087733959372376,0.0359862905631269,2.5783100780887036,0.241875,0.35812499999999997
0.12999999999999998,0.001023531671895993,0.038982726425327144,2.793169251262762,0.241875,0.35812499999999997
0.13999999999999999,0.0011809593303037883,0.04197859299985416,3.0080284244368207,0.241875,0.35812499999999997
0.15,0.0013496203551232938,0.04497384815738362,3.222887597610879,0.241875,0.35812499999999997
0.16,0.0015295123745616274,0.047968449777189226,3.437746770784938,0.241875,0.35812499999999997
0.17,0.0017206328588902304,0.05096235574773506,3.6526059439589966,0.241875,0.35812499999999997
0.18000000000000002,0.0019229791204804414,0.05395552396726775,3.8674651171330554,0.241875,0.35812499999999997
0.19000000000000003,0.0021365483138412913,0.056947912344408526,4.082324290307114,0.241875,0.35812499999999997
0.20000000000000004,0.0023613374356595183,0.05993947879874515,4.297183463481173,0.241875,0.35812499999999997
0.21000000000000005,0.002597343324841801,0.06293018126142366,4.512042636655232,0.241875,0.35812499999999997
0.22000000000000006,0.0028445626625592116,0.06591997767573995,4.726901809829291,0.241875,0.35812499999999997
0.23000000000000007,0.0031029919722938885,0.06890882599773122,4.94176098300335,0.241875,0.35812499999999997
0.24000000000000007,0.0033726276198879214,0.0718966841967672,5.156620156177409,0.241875,0.35812499999999997
0.25000000000000006,0.00365346581359446,0.0748835102561412,5.371479329351468,0.241875,0.35812499999999997
0.26000000000000006,0.003945502604131033,0.077869262173661,5.5863385025255266,0.241875,0.35812499999999997
0.2700000000000001,0.004248733884735087,0.08085389796223943,5.801197675699585,0.241875,0.35812499999999997
0.2800000000000001,0.004563155391221734,0.08383737565048492,6.016056848873644,0.241875,0.35812499999999997
0.2900000000000001,0.004888762702043722,0.08681965328329165,6.230916022047704,0.241875,0.35812499999999997
0.3000000000000001,0.005225551238353608,0.08980068892242954,6.445775195221763,0.241875,0.35812499999999997
0.3100000000000001,0.00557351626406815,0.09278044064713405,6.660634368395821,0.241875,0.35812499999999997
0.3200000000000001,0.005932652885934908,0.09575886655469565,6.87549354156988,0.241875,0.35812499999999997
0.3300000000000001,0.006302956053601056,0.0987359247610491,7.090352714743939,0.241875,0.35812499999999997
0.34000000000000014,0.0066844205596844,0.10171157340136243,7.305211887917998,0.241875,0.35812499999999997
0.35000000000000014,0.007077041039846611,0.10468577063062567,7.5200710610920565,0.241875,0.35812499999999997
